Store,Date,Action,Urgency,Gap_Units,Reason
1,2012-12-02,SURPLUS,LOW,674.29,"Demand is LOW (Demand 86.5% below store average (24,768)). Inventory is ADEQUATE (Stock covers 1.03 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-12-09,SURPLUS,LOW,562.75,"Demand is LOW (Demand 89.9% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.97 weeks — healthy level). → Action: SURPLUS with LOW urgency."
1,2012-12-16,STABLE,LOW,824.45,"Demand is NORMAL (Demand within normal range of store average (24,768)). Inventory is ADEQUATE (Stock covers 1.04 weeks — healthy level). → Action: STABLE with LOW urgency."
1,2012-12-23,SURPLUS,LOW,2667.49,"Demand is LOW (Demand 87.8% below store average (24,768)). Inventory is ADEQUATE (Stock covers 0.88 weeks — healthy level). → Action: SURPLUS with LOW urgency."
2,2012-01-01,STABLE,LOW,3569.93,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.20 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-01-08,STABLE,LOW,2951.28,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-01-15,SURPLUS,LOW,4512.59,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-01-22,SURPLUS,LOW,4668.3,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-01-29,SURPLUS,LOW,4187.88,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.21 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-05,SURPLUS,LOW,7013.18,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.36 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-12,SURPLUS,LOW,4718.16,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-02-19,STABLE,LOW,4391.46,"Demand is HIGH (Demand 110.2% above store average (18,353)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-02-26,STABLE,LOW,5851.67,"Demand is HIGH (Demand 112.4% above store average (18,353)). Inventory is EXCESS (1.28 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-03-04,SHORTAGE,MEDIUM,3817.64,"Demand is HIGH (Demand 114.6% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-03-11,SURPLUS,LOW,7015.51,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.35 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-03-18,STABLE,LOW,3244.73,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-03-25,SURPLUS,LOW,7745.92,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.40 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-04-01,SURPLUS,LOW,6757.45,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-04-08,SHORTAGE,MEDIUM,4054.54,"Demand is HIGH (Demand 112.6% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.20 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-04-15,SHORTAGE,MEDIUM,3191.78,"Demand is HIGH (Demand 118.3% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.15 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-04-22,STABLE,LOW,7457.26,"Demand is HIGH (Demand 115.0% above store average (18,353)). Inventory is EXCESS (1.35 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-04-29,STABLE,LOW,6990.74,"Demand is HIGH (Demand 117.0% above store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-06,STABLE,LOW,7158.6,"Demand is HIGH (Demand 117.8% above store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-13,STABLE,LOW,7308.28,"Demand is HIGH (Demand 116.5% above store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-05-20,SHORTAGE,MEDIUM,3495.63,"Demand is HIGH (Demand 115.8% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-05-27,STABLE,LOW,4869.93,"Demand is HIGH (Demand 112.0% above store average (18,353)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
2,2012-06-03,SHORTAGE,MEDIUM,3602.61,"Demand is HIGH (Demand 112.1% above store average (18,353)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
2,2012-06-10,SURPLUS,LOW,7277.07,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.37 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-06-17,SURPLUS,LOW,5937.3,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.30 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-06-24,SURPLUS,LOW,4509.62,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-01,STABLE,LOW,3041.09,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-07-08,SURPLUS,LOW,4112.1,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-15,SURPLUS,LOW,4271.96,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-22,SURPLUS,LOW,5828.02,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-07-29,SURPLUS,LOW,5412.89,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.31 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-08-05,SURPLUS,LOW,6599.43,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.37 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-08-12,SURPLUS,LOW,4639.07,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.27 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-08-19,STABLE,LOW,3137.71,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: STABLE with LOW urgency."
2,2012-08-26,SURPLUS,LOW,5621.49,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.33 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-09-02,SURPLUS,LOW,5728.75,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-09-09,SURPLUS,HIGH,4578.83,"Demand is LOW (Demand 86.5% below store average (18,353)). Inventory is EXCESS (1.29 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-09-16,SURPLUS,HIGH,5329.26,"Demand is LOW (Demand 84.9% below store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-09-23,SURPLUS,HIGH,4247.62,"Demand is LOW (Demand 85.3% below store average (18,353)). Inventory is EXCESS (1.27 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-09-30,SURPLUS,HIGH,4381.72,"Demand is LOW (Demand 85.7% below store average (18,353)). Inventory is EXCESS (1.28 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-10-07,SURPLUS,HIGH,4186.88,"Demand is LOW (Demand 89.7% below store average (18,353)). Inventory is EXCESS (1.25 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-10-14,SURPLUS,LOW,2442.36,"Demand is LOW (Demand 87.5% below store average (18,353)). Inventory is ADEQUATE (Stock covers 1.15 weeks — healthy level). → Action: SURPLUS with LOW urgency."
2,2012-10-21,SURPLUS,LOW,2713.47,"Demand is LOW (Demand 85.4% below store average (18,353)). Inventory is ADEQUATE (Stock covers 1.17 weeks — healthy level). → Action: SURPLUS with LOW urgency."
2,2012-10-28,SURPLUS,LOW,2307.95,"Demand is LOW (Demand 81.9% below store average (18,353)). Inventory is ADEQUATE (Stock covers 1.15 weeks — healthy level). → Action: SURPLUS with LOW urgency."
2,2012-11-04,SURPLUS,HIGH,4442.32,"Demand is LOW (Demand 78.7% below store average (18,353)). Inventory is EXCESS (1.31 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-11-11,SURPLUS,HIGH,3293.1,"Demand is LOW (Demand 79.5% below store average (18,353)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-11-18,SURPLUS,HIGH,4225.34,"Demand is LOW (Demand 83.7% below store average (18,353)). Inventory is EXCESS (1.28 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-11-25,SURPLUS,HIGH,6087.13,"Demand is LOW (Demand 88.1% below store average (18,353)). Inventory is EXCESS (1.38 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-12-02,SURPLUS,LOW,3470.48,"Demand is NORMAL (Demand within normal range of store average (18,353)). Inventory is EXCESS (1.21 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
2,2012-12-09,SURPLUS,HIGH,4044.64,"Demand is LOW (Demand 88.1% below store average (18,353)). Inventory is EXCESS (1.25 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-12-16,SURPLUS,HIGH,5367.85,"Demand is LOW (Demand 86.5% below store average (18,353)). Inventory is EXCESS (1.34 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
2,2012-12-23,SURPLUS,HIGH,3196.01,"Demand is LOW (Demand 85.4% below store average (18,353)). Inventory is EXCESS (1.20 weeks of excess stock — risk of wastage). → Action: SURPLUS with HIGH urgency."
3,2012-01-01,STABLE,LOW,1684.96,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.06 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-01-08,STABLE,LOW,3006.4,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.10 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-01-15,STABLE,LOW,2267.38,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.07 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-01-22,SURPLUS,LOW,7376.82,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is EXCESS (1.25 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
3,2012-01-29,SURPLUS,LOW,6916.13,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
3,2012-02-05,STABLE,LOW,5768.75,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.18 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-02-12,SURPLUS,LOW,7785.48,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
3,2012-02-19,STABLE,LOW,7857.68,"Demand is HIGH (Demand 115.6% above store average (30,546)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-02-26,SHORTAGE,MEDIUM,2857.29,"Demand is HIGH (Demand 116.4% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.08 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-03-04,STABLE,LOW,9001.55,"Demand is HIGH (Demand 121.2% above store average (30,546)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-03-11,SHORTAGE,MEDIUM,5923.05,"Demand is HIGH (Demand 119.9% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-03-18,STABLE,LOW,8135.49,"Demand is HIGH (Demand 119.2% above store average (30,546)). Inventory is EXCESS (1.22 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-03-25,STABLE,LOW,8887.56,"Demand is HIGH (Demand 119.3% above store average (30,546)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-04-01,SHORTAGE,MEDIUM,4105.17,"Demand is HIGH (Demand 121.5% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.11 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-04-08,SHORTAGE,MEDIUM,2288.22,"Demand is HIGH (Demand 119.5% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.06 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-04-15,SHORTAGE,MEDIUM,3314.74,"Demand is HIGH (Demand 120.7% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.09 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-04-22,SHORTAGE,MEDIUM,4781.35,"Demand is HIGH (Demand 115.3% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.14 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-04-29,STABLE,LOW,7656.16,"Demand is HIGH (Demand 110.9% above store average (30,546)). Inventory is EXCESS (1.23 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-05-06,STABLE,LOW,7990.04,"Demand is HIGH (Demand 111.0% above store average (30,546)). Inventory is EXCESS (1.24 weeks of excess stock — risk of wastage). → Action: STABLE with LOW urgency."
3,2012-05-13,SHORTAGE,MEDIUM,1316.12,"Demand is HIGH (Demand 110.6% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.04 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-05-20,SHORTAGE,MEDIUM,5536.06,"Demand is HIGH (Demand 116.9% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-05-27,SHORTAGE,MEDIUM,4768.86,"Demand is HIGH (Demand 116.9% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.13 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-06-03,SHORTAGE,MEDIUM,3192.01,"Demand is HIGH (Demand 118.0% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.09 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-06-10,SHORTAGE,MEDIUM,2295.12,"Demand is HIGH (Demand 115.7% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.06 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-06-17,SHORTAGE,MEDIUM,3871.51,"Demand is HIGH (Demand 110.1% above store average (30,546)). Inventory is ADEQUATE (Stock covers 1.12 weeks — healthy level). → Action: SHORTAGE with MEDIUM urgency."
3,2012-06-24,SURPLUS,LOW,8269.22,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is EXCESS (1.25 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
3,2012-07-01,STABLE,LOW,3421.19,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.11 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-07-08,STABLE,LOW,4457.35,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is ADEQUATE (Stock covers 1.16 weeks — healthy level). → Action: STABLE with LOW urgency."
3,2012-07-15,SURPLUS,LOW,5401.76,"Demand is LOW (Demand 88.7% below store average (30,546)). Inventory is ADEQUATE (Stock covers 1.20 weeks — healthy level). → Action: SURPLUS with LOW urgency."
3,2012-07-22,SURPLUS,LOW,3226.13,"Demand is LOW (Demand 87.2% below store average (30,546)). Inventory is ADEQUATE (Stock covers 1.12 weeks — healthy level). → Action: SURPLUS with LOW urgency."
3,2012-07-29,SURPLUS,LOW,7338.84,"Demand is NORMAL (Demand within normal range of store average (30,546)). Inventory is EXCESS (1.26 weeks of excess stock — risk of wastage). → Action: SURPLUS with LOW urgency."
